FAA ID,AIRPORT NAME,LOCATION,ST,PROCEDURE NAME,LPV or LP,DA OR MDA,VIS,HAT,GPA,TCH,ILS to Rwy (Y/N),Rwy End Cntr,ILS @ Arpt (Y/N),ILS Arpt Cntr (Y/N),ILS CAT II or III,WAAS CHANNEL #
RDU,RALEIGH-DURHAM INTL,RALEIGH/DURHAM,NC,RNAV (GPS) Y RWY 23R,LPV,609,1800,200,3,56,Y,1,Y,Y,3-Feb,45613
MKT,MANKATO RGNL,MANKATO,MN,RNAV (GPS) RWY 15,LPV,1373,1 1/4,353,3,48,N,1,Y,Y,,45615
CRW,YEAGER,CHARLESTON,WV,RNAV (GPS) Y RWY 23,LPV,1131,2400,200,3,56,Y,1,Y,Y,,45616
4J1,BRANTLEY COUNTY,NAHUNTA,GA,RNAV (GPS) Z RWY 19,LPV,489,1 1/8,404,3.61,60,N,1,N,N,,45617
ODO,ODESSA-SCHLEMEYER FIELD,ODESSA,TX,RNAV (GPS) RWY 11,LPV,3176, 3/4,200,3,40,N,1,N,N,,45618
DEN,DENVER INTL,DENVER,CO,RNAV (GPS) Y RWY 34L,LPV,5527,1800,200,3,50,Y,1,Y,,3-Feb,45619
CTY,CROSS CITY,CROSS CITY,FL,RNAV (GPS) RWY 31,LPV,383,1 1/4,341,3,59,N,1,N,N,,45620
MMU,MORRISTOWN MUNI,MORRISTOWN,NJ,RNAV (GPS) Z RWY 23,LPV,488, 1/2,305,3,55,Y,1,Y,Y,,45621
PWK,CHICAGO EXECUTIVE,CHICAGO/PROSPECT HEIGHTS/WHEELING,IL,RNAV (GPS) RWY 16,LPV,905,1,262,3,52,Y,1,Y,Y,,45627
ERV,KERRVILLE MUNI/LOUIS SCHREINER FIELD,KERVILLE,TX,RNAV (GPS) RWY 12,LPV,1836,1,250,3,40,N,1,N,N,,45628
AIG,LANGLADE COUNTY,ANTIGO,WI,RNAV (GPS) RWY 27,LPV,1773,1,250,3,40,N,1,N,N,,45629
2C8,CAVALIER MUNI,CAVALIER,ND,RNAV (GPS) RWY 34,LPV,1156,1,265,3,40,N,1,N,N,,45630
2M0,PRINCETON-CALDWELL COUNTY,PRINCETON,KY,RNAV (GPS) RWY 23,LPV,898,1 1/8,325,3,32,N,1,N,,,45631
BPG,BIG SPRING MC MAHON-WRINKLE,BIG SPRING,TX,RNAV (GPS) RWY 24,LPV,2823, 3/4,250,3,45,N,1,N,N,,45632
MQJ,INDIANAPOLIS RGNL,INDIANAPOLIS,IN,RNAV (GPS) RWY 34,LPV,1058, 3/4,200,3.3,53,N,1,Y,Y,,45634
E06,LEA COUNTY-ZIP FRANKLIN MEMORIAL,LOVINGTON,NM,RNAV (GPS) RWY 21,LPV,4305,1 1/8,338,3,42,N,1,N,N,,45636
LNK,LINCOLN,LINCOLN,NE,RNAV (GPS) RWY 35,LPV,1446, 3/4,250,3,45,N,1,Y,,,45637
6G1,TITUSVILLE,TITUSVILLE,PA,RNAV (GPS) RWY 01,LPV,1864,1,293,3,55,N,1,N,,,45639
AKO,COLORADO PLAINS RGNL,AKRON,CO,RNAV (GPS) RWY 29,LPV,4933,1,250,3,52,N,1,N,N,,45640
HXD,HILTON HEAD,HILTON HEAD ISLAND,SC,RNAV (GPS) RWY 03,LPV,321,1,302,3,40,N,1,N,N,,45641
D57,GLEN ULLIN RGNL,GLEN ULLIN,ND,RNAV (GPS) RWY 29,LPV,2341,1,250,3,40,N,1,N,N,,45642
TOB,DODGE CENTER,DODGE CENTER,MN,RNAV (GPS) RWY 34,LPV,1554,1,250,3,40,N,1,N,N,,45683
HTS,TRI-STATE/MILTON J FERGUSON FIELD,HUNTINGTON,WV,RNAV (GPS) RWY 12,LPV,1027,4000,200,3,56,Y,1,Y,Y,,45699
DED,DELAND MUNI-SIDNEY H TAYLOR FIELD,DELAND,FL,RNAV (GPS) RWY 23,LPV,374,1,296,3,40,N,1,N,N,,45700
TYR,TYLER POUNDS RGNL,TYLER,TX,RNAV (GPS) RWY 13,LPV,739, 1/2,200,3,55,Y,1,Y,,,45701
LFT,LAFAYETTE RGNL/PAUL FOURNET FIELD,LAFAYETTE,LA,RNAV (GPS) RWY 29,LPV,294,1,252,3,50,N,1,Y,Y,,45703
LUL,HESLER-NOBLE FIELD,LAUREL,MS,RNAV (GPS) RWY 13,LPV,488,1,250,3,40,N,1,N,N,,45704
UIN,QUINCY RGNL-BALDWIN FIELD,QUINCY,IL,RNAV (GPS) RWY 22,LPV,999,1,250,3,43,N,1,Y,Y,,45705
IND,INDIANAPOLIS INTL,INDIANAPOLIS,IN,RNAV (GPS) Y RWY 05L,LPV,947,1800,200,3,53,Y,1,Y,,3-Feb,45706
AFK,NEBRASKA CITY MUNI,NEBRASKA CITY,NE,RNAV (GPS) RWY 33,LPV,1412,1,250,3,52,N,1,N,N,,45707
IMS,MADISON MUNI,MADISON,IN,RNAV (GPS) Z RWY 03,LPV,1142, 3/4,330,3.5,42,N,1,N,N,,45708
HNZ,HENDERSON-OXFORD,OXFORD,NC,RNAV (GPS) RWY 06,LPV,814, 7/8,288,3,53,N,1,N,N,,45709
MYF,MONTGOMERY-GIBBS EXECUTIVE,SAN DIEGO,CA,RNAV (GPS) RWY 28R,LPV,623, 1/2,200,3,41,Y,1,Y,Y,3-Feb,45710
RDG,READING RGNL/CARL A SPAATZ FIELD,READING,PA,RNAV (GPS) RWY 13,LPV,926,2,582,3,45,Y,1,Y,Y,,45712
FNT,BISHOP INTL,FLINT,MI,RNAV (GPS) RWY 09,LPV,971,2400,200,3,50,Y,1,Y,Y,,45714
FYG,WASHINGTON RGNL,WASHINGTON,MO,RNAV (GPS) RWY 33,LPV,824,1 1/4,338,3,43,N,1,N,N,,45715
PVJ,PAULS VALLEY MUNI,PAULS VALLEY,OK,RNAV (GPS) RWY 35,LPV,1156,1,200,3,42,N,1,N,N,,45716
MMI,McMINN COUNTY,ATHENS,TN,RNAV (GPS) RWY 20,LPV,1174,1,300,3,40,N,1,N,N,,45717
FLG,FLAGSTAFF PULLIAM,FLAGSTAFF,AZ,RNAV (GPS) RWY 03,LPV,7264, 3/4,250,3,50,N,1,Y,Y,,45718
DEN,DENVER INTL,DENVER,CO,RNAV (GPS) Y RWY 35R,LPV,5570,1800,200,3,59,Y,1,Y,,3-Feb,45719
